m,lambda,empirical_rate,cdf,cramer_rate
32,0.10666666666666666,0.06204276532624833,0.13733,0.01968486650875212
32,0.11333333333333331,0.06204276532624833,0.13733,0.018155446093522154
32,0.12,0.05503541486519669,0.17185,0.016696715184003008
32,0.12666666666666665,0.05503541486519669,0.17185,0.015307395048497957
32,0.1333333333333333,0.05503541486519669,0.17185,0.013986243101553497
32,0.14,0.0489545644232902,0.208765,0.01273205149629128
32,0.14666666666666667,0.0489545644232902,0.208765,0.0115436457869664
32,0.15333333333333332,0.0489545644232902,0.208765,0.010419883657474122
32,0.15999999999999998,0.043431892840514026,0.24912,0.009359653711835836
32,0.16666666666666663,0.043431892840514026,0.24912,0.00836187432297511
32,0.17333333333333334,0.043431892840514026,0.24912,0.007425492536355549
32,0.18,0.038383830423234934,0.292795,0.006549483025290931
32,0.18666666666666665,0.038383830423234934,0.292795,0.005732847094952365
32,0.1933333333333333,0.038383830423234934,0.292795,0.004974611732304901
32,0.19999999999999996,0.038383830423234934,0.292795,0.004273828699388027
32,0.20666666666666667,0.03356380108543453,0.341625,0.003629573667528724
32,0.21333333333333332,0.03356380108543453,0.341625,0.0030409453902304345
32,0.21999999999999997,0.03356380108543453,0.341625,0.0025070649126319733
32,0.22666666666666663,0.029177453975793567,0.393105,0.002027074815565133
32,0.23333333333333334,0.029177453975793567,0.393105,0.0016001384923597095
32,0.24,0.029177453975793567,0.393105,0.001225439456672972
64,-0.12,0.1603150390074197,3.5e-05,0.1263268675187068
64,-0.11333333333333333,0.1603150390074197,3.5e-05,0.12122280458543777
64,-0.10666666666666666,0.14840660069418693,7.5e-05,0.11627317165247075
64,-0.1,0.14106279398722232,0.00012,0.11147350770451869
64,-0.09333333333333332,0.14106279398722232,0.00012,0.10681955975001234
64,-0.08666666666666667,0.13429929270134297,0.000185,0.10230726922955324
64,-0.08,0.1275472090264941,0.000285,0.097932759568359
64,-0.07333333333333333,0.1275472090264941,0.000285,0.09369232475527023
64,-0.06666666666666667,0.12041035898749858,0.00045,0.08958241884504525
64,-0.06,0.12041035898749858,0.00045,0.08559964629287986
64,-0.05333333333333333,0.11317543773859791,0.000715,0.08174075304063744
64,-0.04666666666666666,0.10702322454465878,0.00106,0.07800261828344135
64,-0.04000000000000001,0.10702322454465878,0.00106,0.07438224685323436
64,-0.03333333333333334,0.10093546023421907,0.001565,0.0708767621628672
64,-0.026666666666666672,0.10093546023421907,0.001565,0.06748339966034766
64,-0.020000000000000004,0.09611927030095005,0.00213,0.06419950074820646
64,-0.013333333333333336,0.09048399509935279,0.003055,0.061022507127619474
64,-0.006666666666666668,0.09048399509935279,0.003055,0.05794995553105092
64,0.0,0.08432864592948741,0.00453,0.05497947281081711
64,0.006666666666666654,0.07970479995719268,0.00609,0.05210877135419284
64,0.013333333333333336,0.07970479995719268,0.00609,0.04933564479854613
64,0.01999999999999999,0.07406007952054208,0.00874,0.046657964022508214
64,0.026666666666666672,0.07406007952054208,0.00874,0.044073673391465285
64,0.033333333333333326,0.07054488356261424,0.010945,0.04158078723765157
64,0.03999999999999998,0.06644379479500588,0.01423,0.039177386556945304
64,0.04666666666666666,0.06644379479500588,0.01423,0.0368616159060578
64,0.053333333333333316,0.062394266575838894,0.01844,0.03463168048527476
64,0.06,0.062394266575838894,0.01844,0.032485843393184166
64,0.06666666666666665,0.05863882475140389,0.02345,0.030422423041010616
64,0.07333333333333333,0.05529545199277564,0.029045,0.028439790715217017
64,0.07999999999999999,0.05529545199277564,0.029045,0.02653636827798811
64,0.08666666666666667,0.051544788290073335,0.036925,0.02471062599606899
64,0.09333333333333332,0.048100967518015424,0.04603,0.0229610804892052
64,0.09999999999999998,0.048100967518015424,0.04603,0.02128629279013944
64,0.10666666666666666,0.04370255289658494,0.060995,0.01968486650875212
64,0.11333333333333331,0.04370255289658494,0.060995,0.018155446093522154
64,0.12,0.04211571068076768,0.067515,0.016696715184003008
64,0.12666666666666665,0.039748322108373854,0.07856,0.015307395048497957
64,0.1333333333333333,0.039748322108373854,0.07856,0.013986243101553497
